broker,message_size,target_rate,sent,processed,errors,throughput_msg_sec,avg_latency_ms,p95_latency_ms,max_latency_ms,duration_sec,queue_left
rabbitmq,128,1000,5000,5000,0,295.53619923575394,1.4571691036224366,2.4492740631103516,22.136449813842773,16.91840124130249,0
redis,128,1000,5000,5000,0,451.69309418208263,0.4414330005645752,0.7965564727783203,15.859842300415039,11.069463014602661,0
rabbitmq,128,5000,5000,5000,0,570.8570480206239,0.8430245399475098,1.4481544494628906,12.845516204833984,8.758760213851929,0
redis,128,5000,5000,5000,0,461.36111243107587,0.44297327995300295,0.7345676422119141,25.531291961669922,10.83749771118164,0
rabbitmq,128,10000,5000,5000,0,1216.7993638056914,0.3687582969665527,0.45680999755859375,3.1828880310058594,4.109140872955322,0
redis,128,10000,5000,5000,0,465.7839002414283,0.4203379154205322,0.6985664367675781,14.233827590942383,10.734591722488403,0
rabbitmq,1024,1000,5000,5000,0,300.1096873637521,1.414093589782715,2.123594284057617,22.764205932617188,16.66057515144348,0
redis,1024,1000,5000,5000,0,460.468878358473,0.4298027515411377,0.7414817810058594,26.265621185302734,10.858497142791748,0
rabbitmq,1024,5000,5000,5000,0,605.7827580147815,0.7695069313049316,1.2485980987548828,18.504619598388672,8.253783941268921,0
redis,1024,5000,5000,5000,0,455.50524968132146,0.4368607044219971,0.7758140563964844,33.4017276763916,10.976821899414062,0
rabbitmq,1024,10000,5000,5000,0,1145.329608469298,0.3502511024475098,0.40602684020996094,2.9065608978271484,4.36555552482605,0
redis,1024,10000,5000,5000,0,448.3681618735907,0.467426061630249,0.8199214935302734,21.497249603271484,11.151550054550171,0
rabbitmq,10240,1000,5000,5000,0,305.45257858155713,1.3689608573913574,2.1996498107910156,17.755508422851562,16.369153022766113,0
redis,10240,1000,5000,5000,0,451.3789671871921,0.5110808849334717,0.8168220520019531,10.576248168945312,11.077166557312012,0
rabbitmq,10240,5000,5000,5000,0,603.7808509796635,0.7773648262023926,1.2505054473876953,9.558916091918945,8.281150341033936,0
redis,10240,5000,5000,5000,0,424.3626997612935,0.5932511806488037,0.9829998016357422,21.831989288330078,11.782373905181885,0
rabbitmq,10240,10000,5000,5000,0,1157.2509484824475,0.3675525188446045,0.42366981506347656,30.779123306274414,4.320584058761597,0
redis,10240,10000,5000,5000,0,428.1131599285648,0.5897675037384034,0.9562969207763672,19.797563552856445,11.679155111312866,0
rabbitmq,102400,1000,5000,5000,0,212.68951181315356,2.79152569770813,4.270792007446289,21.288156509399414,23.50844645500183,0
redis,102400,1000,5000,5000,0,270.3587492102216,1.8569664001464843,2.865314483642578,23.24080467224121,18.493945598602295,0
rabbitmq,102400,5000,5000,5000,0,697.4207246909914,0.7572940826416016,0.87738037109375,7.904052734375,7.169273614883423,0
redis,102400,5000,5000,5000,0,263.3315661135698,1.9596813201904297,2.913951873779297,21.834373474121094,18.98746919631958,0
rabbitmq,102400,10000,5000,5000,0,1937.9902843214734,0.4710951805114746,0.6008148193359375,2.930164337158203,2.5799922943115234,0
redis,102400,10000,5000,5000,0,277.12251341865533,1.7892248153686523,2.7511119842529297,31.153440475463867,18.042561531066895,0
